List,0
List Heuristic,1
Tree,2
Tree p.c,3
Nodes.n,DisjointType,Union time
80,0,0.03932620000000031
80,1,0.015522899999997675
80,2,0.05079670000000003
80,3,0.024071000000001064
81,0,0.039903900000000325
81,1,0.016098499999997795
81,2,0.05312340000000004
81,3,0.02497210000000094
82,0,0.04043240000000026
82,1,0.01666469999999798
82,2,0.05547080000000015
82,3,0.025917600000000984
83,0,0.04124160000000021
83,1,0.017369599999997876
83,2,0.059706600000000165
83,3,0.027119900000000863
84,0,0.04190010000000011
84,1,0.017889799999997846
84,2,0.06186120000000028
84,3,0.02783790000000086
85,0,0.04245730000000014
85,1,0.018681599999997855
85,2,0.0651862000000003
85,3,0.02889270000000077
86,0,0.043947300000000133
86,1,0.01905759999999801
86,2,0.06694180000000038
86,3,0.029495500000000785
87,0,0.044427500000000286
87,1,0.019502799999997933
87,2,0.06918690000000027
87,3,0.030221800000000743
88,0,0.04514930000000028
88,1,0.02029609999999793
88,2,0.07307500000000045
88,3,0.031446200000000646
89,0,0.045790300000000395
89,1,0.02098089999999786
89,2,0.0766326000000006
89,3,0.03258140000000065
90,0,0.04639850000000045
90,1,0.021547699999997727
90,2,0.07954550000000049
90,3,0.033518400000000614
91,0,0.04699240000000038
91,1,0.022128999999997845
91,2,0.08250680000000044
91,3,0.03453810000000046
92,0,0.04757660000000041
92,1,0.02274239999999783
92,2,0.08528360000000035
92,3,0.03541540000000043
93,0,0.04815510000000045
93,1,0.023327599999998005
93,2,0.08808930000000048
93,3,0.03629690000000041
94,0,0.04854790000000042
94,1,0.02370629999999796
94,2,0.08941950000000065
94,3,0.03681580000000051
95,0,0.049050300000000435
95,1,0.024703899999998002
95,2,0.09151740000000053
95,3,0.03768200000000066
96,0,0.04999620000000027
96,1,0.025617399999998014
96,2,0.09618340000000059
96,3,0.039203400000000554
97,0,0.05040320000000009
97,1,0.026027299999997977
97,2,0.09830830000000068
97,3,0.039839900000000705
98,0,0.05063990000000018
98,1,0.026246899999998075
98,2,0.09867080000000072
98,3,0.040120600000000506
99,0,0.0511014000000003
99,1,0.02672589999999797
99,2,0.1005357000000009
99,3,0.04082860000000066
100,0,0.05133220000000027
100,1,0.027011699999998084
100,2,0.10100230000000088
100,3,0.04118150000000065
101,0,0.05236480000000032
101,1,0.028050199999998027
101,2,0.10587480000000093
101,3,0.04288350000000074
102,0,0.05332500000000029
102,1,0.029114599999997992
102,2,0.11108240000000102
102,3,0.04449780000000092
103,0,0.05356200000000033
103,1,0.029325899999997906
103,2,0.11183570000000098
103,3,0.04474510000000098
104,0,0.05395970000000028
104,1,0.02971289999999782
104,2,0.11303030000000103
104,3,0.045316900000001104
105,0,0.0550457000000002
105,1,0.030760199999998017
105,2,0.11867450000000113
105,3,0.04718380000000111
106,0,0.05578930000000004
106,1,0.031372199999998074
106,2,0.12254060000000111
106,3,0.048231400000001035
107,0,0.056562199999999896
107,1,0.032005399999998074
107,2,0.12647510000000128
107,3,0.049280300000001054
108,0,0.05702560000000001
